text	object	context	role	section	flag
These values are in line with those presented in @@CITATION, where very low-latency optical data center networks are analyzed and are suitable for applications with very strict delay requirements.	 low-latency  optical  data  center  networks 		B-subj	method	0
Time series randomization has been studied, e.g., in @@CITATION.	@@CITATION		A-subj	method	0
Finally, in Section 7.1 we report some preliminary results in the spirit of recent advances in noise model learning via bilevel optimisation a la @@CITATION.	@@CITATION		A-subj	introduction	0
In a forthcoming work @@CITATION, we will study this question in depth and provide such an algorithm for many important stability notions.	work 		B-subj	method	0
6 CASE STUDY In this section, we demonstrate the usefulness of BOOSTVis by conducting two case studies on a real-world dataset used in the Kaggle competition - Otto Group Product Classification Challenge @@CITATION.	Otto  Group  Product  Classification  Challenge 		A-subj	method	0
The authors in @@CITATION show that FD relaying achieves significantly higher secrecy rates than HD relaying with optimal power allocation considering the amplify-and-forward (AF) relay.	FD  relaying 		B-subj	method	0
The work presented in @@CITATION explores the possibility to optimize the path trading technique between several ASs.	path  trading  technique 		B-subj	method	0
Additional results, including the effect of flow assignment and reassignment, hardware-assisted string matching, and caches are discussed in an extended technical report @@CITATION.	results		B-subj	evaluation	0
Kim et al. @@CITATION investigated the electromechanical coupling by applying an electric field when the cellulose based E Pap was mechanically strained.	electromechanical  coupling 		B-subj	method	0
In this paper, we report some numerical results using the wavelet frame based on tensor product of symmetric quartic B-splines constructed in @@CITATION.	wavelet  frame 		A-subj	abstract	0
Streams, automata, concurrent and stochastic processes, and recursive types have been successfully analyzed using coinductive methods; see @@CITATION and references therein.	Streams,  automata,  concurrent  and  stochastic  processes,  and  recursive  types 		B-subj	introduction	0
One of the first studies of fault analysis on commercial fault-tolerant systems @@CITATION analyzes Tandem System outages with more than 2000 systems in scope.	Tandem  System  outages 		B-subj	related work	0
Agarwal, Aronov, and Suri @@CITATION, in an attempt to gauge the computational complexity of ray shooting, analyzed the maximum stabbing number of polyhedral scenes.	maximum  stabbing  number  of  polyhedral  scenes		B-subj	introduction	0
Prior work in this field dates back to the early 1980s, when Michael Naimark investigated immersive projection environments in art installations @@CITATION.	immersive  projection  environments  in  art  installations 		B-subj	method	0
These matches are also analyzed by Menendez et al. @@CITATION, but they look at the static match information and try to extract behavioral models from them.	matches 		B-subj	unknown	0
@@CITATION conducted an empirical investigation of peopleâ€™s attitudes and practices around security and observed that they display considerable concerns about security as well.	peopleâ€™s  attitudes  and  practices  around  security 		B-subj	introduction	0
It should be pointed out that we do NOT minimize Ec with respect to Âµ, since the color naming function such as that defined by @@CITATION is too complex to be optimized analytically.	@@CITATION 		B-subj	method	1
@@CITATION discusses several ways in which cross-linguistic comparisons can be exploited to test psycholinguistic hypotheses; the one which will be relevant here is their function as an essential control condition.	cross-linguistic  comparisons 		B-subj	keywords	0
In this context, a more advanced routing algorithm, such as LEACH [3] or TEEN @@CITATION would complicate the discussion with their operational details.	@@CITATION 		B-subj	method	0
We also analyzed the mixing patterns @@CITATION of the HBC graph, in order to measure the tendency of nodes with similar degree to preferably connect to each other.	mixing  patterns 	in  order  to  measure  the  tendency  of  nodes  with  similar  degree  to  preferably  connect  to  each  other	A-subj	method	0
Other approaches @@CITATION propose using a high-level policy language to define and analyze firewall policies and then map this language to filtering rules.	firewall  policies 		B-subj	introduction	0
GapMinder @@CITATION prompted discussion regarding the replaying and animating of the search process to identify and highlight key aspects of the search and meaningful features.	@@CITATION 		B-subj	method	0
Chapter 6 of Mason @@CITATION provides a detailed analysis of the form of electronic signatures and comments on cases illustrating the variability of legal decisions.	electronic  signatures 		B-subj	introduction	0
Their effectiveness has been extensively investigated for use in photorealistic computer graphics applications @@CITATION, such as Monte Carlo integration in 3D ray tracing.	effectiveness 		A-subj	abstract	0
@@CITATION analyze the impact of using standardization, modular design, and process redesign to delay the point of differentiation (PoD) for a product.	standardization,  modular  design,  and  process  redesign 		B-subj	abstract	0
More detailed discussions about the negative binomial and related distributions and the corresponding stochastic processes defined on R+ can be found in Kozubowski and Podgorski @@CITATION .	negative  binomial  and  related  distributions 		B-subj	introduction	0
B. General Synchrony in Prosodic Features We first investigate the general tendency of synchrony, which was reported by Heldner et al. @@CITATION.	tendency  of  synchrony		B-subj	unknown	0
A large body of related work was done by Girardin et al. @@CITATION, who analyzed dynamics of people moving through urban spaces.	dynamics  of  people 		B-subj	related work	0
The effects of these timing parameters and of imperfect channel sniffing on the availability of CDPD streams and AMPS voice blocking probability have been analyzed in @@CITATION.	timing  parameters  and  of  imperfect  channel  sniffing 		A-subj	method	0
Event experiments In our previous experiments ( @@CITATION ) , we analyzed the role that topology plays in the conceptualization of geographic movement patterns .	topology 	in  the  conceptualization  of  geographic  movement  patterns 	B-subj	keywords	0
In our previous work @@CITATION we discussed SDN-based local handover management approach, and our preliminary results have shown some performance improvement of the approach.	SDN-based  local  handover  management  approach		B-subj	method	0
These values are in line with those presented in @@CITATION, where very low-latency optical data center networks are analyzed and are suitable for applications with very strict delay requirements.	low-latency  optical  data  center  networks 		A-subj	method	0
RELATED WORK Past research with transactional workflows has investigated the need to relax ACID properties for long running workflow activities @@CITATION.	ACID  properties 		A-subj	method	0
Reference @@CITATION, on the other hand, investigated the deviations in pursuit eye movement performance when elongated bars of varying lengths were presented which should be tracked by eye.	eye  movement  performance 		B-subj	method	0
Based on its critical role, targeted inhibition of SNAIL proteins has been investigated in pre-clinical setting as a therapeutics strategy to reverse EMT phenotype @@CITATION.	SNAIL  proteins 		A-subj	unknown	0
Because of the uncertain behavior of nanodevices , a few recent papers @@CITATION also discussed the power grid analysis with random current draws from nanodevices .	power  grid  analysis 		B-subj	method	0
CONCLUSIONS Recent work in the literature ( @@CITATION ) showed that automatic static analysis tools signal too many false positive issues , i.e . issues not related to any defect .	automatic  static  analysis  tools 		B-subj	conclusions	0
Although previous studies @@CITATION showed that the selectivity of operators and cardinality estimates are useful features for execution time prediction, the reason why they were not considered in our feature set is discussed in section 4.2.1.	selectivity  of  operators  and  cardinality  estimates 		B-subj	method	0
In @@CITATION, the authors discuss a query-based faceted search for Semantic Web, as a contrast we are mostly dealing with navigational capabilities that can be provided by utilizing the powerful structure introduced by Hasse Diagram.	query-based  faceted  search 		B-subj	method	0
2 Related Work The subject of indirect commands , of which the locative utterances we study are an example , has been extensively analyzed in terms of speech act and decision theory ( @@CITATION ) .	indirect  commands 		B-subj	related work	0
To facilitate our discussion, we now review two popular correlation measures: mutual information (for two columns only) and total correlation (for more than two columns) @@CITATION.	correlation  measures		B-subj	method	0
The value of disposal practices has been discussed in material culture research, pointing to disposal as a means of severing important relationships no longer relevant for the current self [@@CITATION].	value  of  disposal  practices 		A-subj	related work	0
Benjelloun @@CITATION investigated the properties of match functions and fusion functions simultaneously and showed that whenever the match and fusion functions satisfy certain properties, very efficient fusion algorithms can be constructed.	properties  of  match  functions  and  fusion  functions 		B-subj	method	0
In a study, which set out to highlight challenges in smart system integration Heo, et al. @@CITATION discuss interoperability issues that have to be solved in order for the smart city to become a reality.	interoperability  issues 	for  the  smart  city 	B-subj	method	1
An investigation into designating three sub-appellations of red Niagara Peninsula Bordeaux style based on differences in chemical and sensory analysis on forty-one commercially available wines is reported on @@CITATION.	designating  three  sub-appellations  of  red  Niagara  Peninsula  Bordeaux  style 		B-subj	method	0
Since then a very comprehensive analysis of a large bio-medical corpus by @@CITATION has delivered conflicting results, concluding that bibliographic coupling and co-citation analysis outperform direct citation in identifying research fronts.	 large  bio-medical  corpus 		B-subj	unknown	1
Many behavioral analyses of online discussion activities ( @@CITATION , 2008 ; CIT ) provide insight into process limitations when students conduct discussions without teacher guidance .	 online  discussion  activities 		B-subj	keywords	0
2 Related Work The subject of indirect commands , of which the locative utterances we study are an example , has been extensively analyzed in terms of speech act and decision theory ( @@CITATION ) .	subject  of  indirect  commands 		B-subj	related work	0
Statistical concepts such as regularization , latent variables , spurious correlation , and problems involving model search and selection have appeared in widely noted data mining literature ( @@CITATION ) .	regularization  ,  latent  variables  ,  spurious  correlation  ,  and  problems  involving  model  search  and  selection 		B-subj	introduction	0
Our starting point is the distributed coordination algorithm based on graph rigidity analyzed in @@CITATION which makes the desired network formation locally ( but not globally ) asymptotically stable .	graph  rigidity 		B-subj	method	0
In addition, we have investigated the usefulness of negative feedback documents for query expansion based on an adaptation of Rocchioâ€™s relevance feedback algorithm @@CITATION to the DFR query expansion framework.	negative  feedback  documents  for  query  expansion 		A-subj	method	0
For instance, @@CITATION reported that diversity in a geographically distributed team (e.g., in experience and expertise) may be a major strength that contributes to the effectiveness of such team.	diversity  in  a  geographically  distributed  team 		B-subj	abstract	0
It should be mentioned that close relations between entropy and time were first noticed by Boltzmann and then this question was discussed in the literature many times (see, for example, @@CITATION).	 entropy  and  time 		B-subj	abstract	0
Deep analyses of the contextual semantics of Haskell’s core-language by investigating extended lambda-calculi were done e.g. in @@CITATION, but all these works consider the untyped variant of the core language.	extended  lambda-calculi 	of  the  contextual  semantics  of  Haskell’s  core-language 	B-subj	introduction	0
HiBOp [2] and Propicman @@CITATION investigate a social and history-based approach in order to predict the future movements of the nodes and to route the messages according to this prediction.	social  and  history-based  approach  in  order  to  predict  the  future  movements  of  the  nodes 		B-subj	keywords	0
The problem of data dissemination has been widely studied for routing scenarios, focusing on theoretical analysis, e.g. @@CITATION, and protocol design, e.g. [5].	data  dissemination 	for  routing  scenarios	B-subj	unknown	0
The algorithmic issues associated with this approach including the propagation of constraint information between nonterminals that are hierarchically related through the SCFG are discussed in detail elsewhere (@@CITATION).	this  approach 		B-subj	method	0
In particular when r  0, the model (5) becomes the well-known case which has been directly or indirectly investigated by many authors, see for example @@CITATION.	model 		B-subj	categories and subject descriptors	0
.@@CITATION have reported an accuracy of 85 % in identifying surface residues based on amino acid sequence information using techniques for predicting solvent accessibility of residues .	surface  residues  	on  amino  acid  sequence  information 	B-subj	acknowledgments	0
The analysis of the physics associated with the ultrasound propagation and interaction with tissues suggests that the echo intensity measurement with the ultrasound probe has a Rayleigh distribution ( @@CITATION ) .	ultrasound  propagation  and  interaction  with  tissues 		B-subj	method	0
.@@CITATION notes that a spammer only needs to receive one hundred responses out of ten million spam messages (0.001% acceptance) to turn a profit.	spammer 		B-subj	keywords	0
Kukka et al. @@CITATION report that, of the variants tested, colored static text was the best performing method of attracting passers-by to displays deployed in a university campus.	colored  static  text 		B-subj	method	0
For example, it is reported that over 90% of human genes are alternatively spliced, and up to 5% of structural variations, such as insertions and deletions are present within exons @@CITATION.	 human  genes 		B-subj	keywords	0
In Section 5 we briefly discuss two existing calibration methods, Platt’s @@CITATION and the method [8] based on isotonic regression.	calibration  methods		A-subj	method	0
More recently, @@CITATION performed an analysis of MapReduce in comparison to parallel databases, which2 A worked example and associated source code is available at http://hadoop.apache.org/core/docs/r0.19.0/mapred_tutorial.html.	MapReduce 		B-subj	categories and subject descriptors	0
3.3.2 AMS Sketch Alon at al. @@CITATION described and analyzed a sketching approach, called AMS Sketch, to estimate the second frequency moment of a high-dimensional vector.	AMS  Sketch	 to  estimate  the  second  frequency  moment  of  a  high-dimensional  vector	B-subj	method	0
Though there are now several analyses of ellipsis phenomena in the literature of TLCG ( @@CITATION , Jager 2005 , CIT ) , so far as we are aware , this is the first analysis of pseudogapping in CG .	ellipsis  phenomena 		B-subj	abstract	0
The work @@CITATION discusses how to support mobile TV services by combining DVB-H and 3G networks, and evaluates the impact of delivering parity data through 3G networks.	mobile  TV  services 		B-subj	method	0
Other publications on these topics mostly propose and/or discuss tools for enhancing database education and in particular for supporting the teaching of SQL ( for example @@CITATION ) .	database  education 		B-subj	introduction	0
Expanding on this, Sen and Airiau @@CITATION investigated social learning for convention emergence, where agents receive a payoff from their interactions which informs their learning (via Q-Learning).	social  learning for  convention  emergence		B-subj	related work	0
HiBOp @@CITATION and Propicman [12] investigate a social and history-based approach in order to predict the future movements of the nodes and to route the messages according to this prediction.	social  and history-based approach 	 to  predict  the  future  movements  of  the  nodes  and  to  route  the  messages  according  to  this  prediction	B-subj	keywords	0
Another study has shown that the low cache bandwidth in prior GPUs makes matrix-matrix multiplication inefficient @@CITATION, something that needs to be investigated and verified in modern GPUs.	GPUs 		B-subj	abstract	0
More specifically , @@CITATION investigate adaptive modulation in SS CRNs , while [ 7 ] and CIT present a performance analysis of adaptive modulation in OSA CRNs .	SS  CRNs 		B-subj	method	0
Wiebe et al. @@CITATION go a step further (with small-group, in-person studies), showing the benefits of getting annotators to reconsider their positions and discuss them with other workers.	annotators 		B-subj	related work	0
As discussed in @@CITATION , SVM performs better than other common approaches such as classification and regression trees ( CART ) and Naive Bayes in similar classification problems .	SVM 		B-subj	method	0
Braschler and Ripplinger @@CITATION investigated stemming and decompounding for German IR, comparing different decomposition approaches, from language independent methods to linguistic methods, including freely available and commercial solutions.	stemming and  decompounding for  German  IR		B-subj	method	0
These states can be recognized either by a camera sensor running a video analysis algorithm [5] or by analyzing the acceleration patterns collected by the body-worn low-power accelerometer sensor @@CITATION.	 acceleration  patterns  collected  by  the  body-worn  low-power  accelerometer  sensor 		B-subj	method	0
There has also been work on using NLP techniques to analyze gender differences in language use by men versus women ( @@CITATION , 2014 ; Agarwal et al. , 2015 ) .	gender  differences in  language  use 		B-subj	method	0
We instead adopt the open-source Hadoop version of MapReduce [25] and discuss practical implementation issues and design patterns @@CITATION for building scalable Hadoop systems for tasks such as ours.	 issues  and  design  patterns 	for  building  scalable  Hadoop  systems 	A-subj	introduction	0
The effects of mobility on critical communications are also studied in [14], while in @@CITATION Maskey et al. provide a comprehensive latency analysis for M2M applications in LTE networks.	 M2M  applications  in  LTE  networks		B-subj	introduction	0
In this paper both state of the art IEEE 802.16 compliant technology and VoIP are evaluated , as mobile WiMAX equipment based on @@CITATION is put into the test and its performance under VoIP traffic is measured and analyzed .	WiMAX  equipment 		A-subj	method	0
Extending the work in Bryans et al. (2005), the authors in Bryans et al. @@CITATION investigated opacity in labelled transition systems, in which the secret was defined as predicates over runs.	opacity  in  labelled  transition  systems		B-subj	abstract	0
As reported in our previous work CIT and other previous studies @@CITATION , DNN-based systems are generally significantly better than HMM-based ones , and therefore we only included DNN and LSTM baselines , and no HMM systems .	DNN-based  systems  		B-subj	method	0
Shortly later, theoretical models of cache attacks were investigated by Page @@CITATION whereas Tsunoo et al. [6] proposed the first cache based attacks against DES.	 theoretical  models  of cache  attacks 		B-subj	method	0
Though the former type seems to have more reasonable application, the problem is that according to analyses [@@CITATION] real-world XML documents are quite simple and do not cover most of the constructs allowed by W3C specifications.	real-world  XML documents 		B-subj	method	0
Skoglund and Runeson @@CITATION took a different approach and investigated a search process based on identifying a “take-off” paper that becomes the starting point of a search and following the references from that paper.	search  process 		B-subj	introduction	0
The investigation on the persymmetric structure of clutter covariance matrix can be traced to Nitzberg’s paper @@CITATION, where the maximum likelihood (ML) estimate of the persymmetric covariance matrix was obtained.	 persymmetric  structure  of  clutter  covariance  matrix 		B-subj	method	0
Bellettini et al. @@CITATION discuss WebUML, a tool that generates UML models using static analysis to extract the navigational structure and dynamic analysis to recover behavior-related information about the application.	WebUML	a  tool  that  generates  UML  models 	B-subj	unknown	0
The power-law tail for large S 1 values developed at the critical point L 1 cr with an exponent of approximately -0.4 is consistent with the forest tree model analyzed in @@CITATION.	forest  tree  model  		B-subj	method	0
Empirical evaluations in @@CITATION confirm that the response time may suffer up to 200% increase in the fault-free case whereas client-perceived failover delay could vary from 200 to 400 ms.	response  time 		B-subj	method	0
The project will also consider the resistance of implementations to physical attacks such as timing attacks [9], fault analysis [2, 3], and power analysis @@CITATION.	resistance  of  implementations  to  physical  attacks 	 resistance  of  implementations power  analysis 	B-subj	method	0
Some researchers analyze the reduction in energy consumption by powering down unused components [1, 6, 8] or switching the system into sleeping mode in predicted idle periods @@CITATION.	reduction  in  energy  consumption 	switching  the  system  into  sleeping  mode  in  predicted  idle  periods 	B-subj	unknown	0
Measures performed in the present p2p networks can not be used in our study , because past analysis ( e.g . @@CITATION ) were conducted in domains where users download files for free without gaining any profit .	p2p  networks 		B-subj	method	0
Seven categories of potential problems within AOSE are identified in @@CITATION: policy, management, conceptual, analysis and design, micro(agent)-level, macro(society)-level and implementation problems.	AOSE 	policy,  management,  conceptual,  analysis  and  design,  micro(agent)-level,  macro(society)-level  and  implementation  problems	B-subj	method	1
Deep networks have demonstrated outstanding performance in object recognition [8,9,10], and successfully applied to a wide range of tasks including learning from noisy data @@CITATION or sentiment analysis [13,14].	Deep  networks 	learning  from  noisy  data 	B-subj	introduction	0
This sharply contrasts to a large amount of effort and literature devoted to the topic of performance analysis of tree search algorithms [ Huyn , Dechter and Pearl 1980 , @@CITATION , Korf , Reid and Edelkamp 2001 ] .	tree  search  algorithms 		B-subj	abstract	0
The notion of incorporating compressive sensing with network data transmission was discussed in @@CITATION, where the authors proposed a distributed matched source-channel communication scheme by exploiting the spatial averaging property inherent in a multiple access channel.	compressive  sensing  with  network  data  transmission 		B-subj	abstract	0
Ramakrishnan et al. [14] and Natasa et al. @@CITATION analyzed how the source of variation influences SER and discovered that traditional static approaches underestimate circuit SER in the presence of process variation.	SER 		B-subj	method	0
Education Management Information System (EMIS) collects data as raw from secondary school, stores, analyzes and provides information about present scenario of educational institutes of a country @@CITATION[14].	present scenario  of  educational  institutes of  a  country 		B-subj	unknown	0
In @@CITATION, the authors have analyzed the error performance of the SM systems communicating over generic fading channels, which provides a comprehensive framework for analyzing the average bit error probability (ABEP) of SM systems.	SM  systems 	over  generic  fading  channels	B-subj	method	0
For instance, research has been performed to analyze the evolution of web characteristics @@CITATION, evaluate cross-lingual web classification algorithms [4] or to measure the accessibility of the web to people with disabilities [8].	web  characteristics 		B-subj	method	0
1 Along another line of research , the performance gains of FD SBSs are recently analyzed for concurrent uplink and downlink transmissions in various research studies considering a single antenna CIT–CIT and multi-antenna @@CITATION transmissions .	 FD  SBSs 	 for  concurrent  uplink  and  downlink  transmissions 	B-subj	method	0
Therefore , many game-related studies use students and young adult game users to analyze game users ’ behavior ( CIT ; Chiang , Lin , Cheng , & Liu , 2011 ; @@CITATION ) .	game  users  ’  behavior 		B-subj	unknown	0
BodyScope @@CITATION placed an acoustic sensor around the neck area to recognize different oral activities (e.g., eating, drinking, speaking, laughing, and coughing) by analyzing sounds generated from the throat area.	oral  activities 		B-subj	introduction	0
In addition, Glass et al. @@CITATION reported a less complicated simple two-step liquid-liquid extraction which was used to detect PCBs in transformer oil, resulting in no false negatives at a 1.4 ppm nominal cutoff.	two-step  liquid-liquid  extraction 		B-subj	method	0
For instance, research has been performed to analyze the evolution of web characteristics [9], evaluate cross-lingual web classification algorithms @@CITATION or to measure the accessibility of the web to people with disabilities [8].	cross-lingual  web  classification  algorithms 		B-subj	method	0
At the group level, LeRouge et al. (2007) examined the effect of use of telemedicine systems on decision making while @@CITATION investigated the effect of use of collaborative IT tools on group performance.	 collaborative  IT  tools  on  group  performance		B-subj	abstract	0
Previous work @@CITATION investigates the zero-one law for connectivity in random key graph G ( n , Kn , Pn ) , where Pn and Kn are the key pool size and the key ring size , respectively .	zero-one  law  for  connectivity  in  random  key  graph 		B-subj	unknown	0
C. The Combined Effects of Cache Tuning and Other Optimization Techniques Nacul et al. @@CITATION investigated the effects of combining dynamic voltage scaling (DVS) with dynamic cache reconfiguration (DCR).	 dynamic  voltage  scaling  (DVS)  		B-subj	abstract	0
The application of the Artificial Intelligence ( AI ) techniques to renewable energies ( CIT , 2003 ) and to the evaluation of fouling deposits evolution inside the boilers ( @@CITATION ) also have been reported .	fouling  deposits  evolution inside  the  boilers 		B-subj	method	0
( 2 ) Logic and database views are fundamental to analyze knowledge structure ( @@CITATION ) , to understand dynamic structure with reference to knowledge ( @@CITATION ) , and to make use of distributed negatives .	knowledge  structure  		B-subj	introduction	0
It uses a bottom-up inductive thematic analysis approach @@CITATION to examine user perceptions on (1) website domain specific quality features, and (2) the ranking of importance of the quality features in different domains.	 user  perceptions  		B-subj	method	0
Kruger et al. [19] and Aslan et al. @@CITATION discuss how users learn routes while using mobile devices, finding that turn-by-turn systems often fail to convey appreciation of the navigation environment to their users.	how  users  learn  routes  while  using  mobile  devices		B-subj	introduction	0
Previous studies investigating positive effects on task performance have found that partners’ positive utterances facilitate more task engagement (Martenes, Bradley, & Eckert, 1997) and flexible thinking (@@CITATION).	task  performance 	flexible  thinking 	B-subj	abstract	0
Despite the benefits that many Cloud ES vendors are hyping, some IT industry analysts (@@CITATION) believed that Cloud ES have been lacking in providing a fully integrated system as compared to On-Premise ES.	Cloud  ES 		B-subj	method	1
Several security researchers have explored the usage of digital signal processing ( DSP ) and other signal analysis techniques for traffic analysis in network security control @@CITATION , [ 14 ] , @@CITATION .	digital  signal  processing  (  DSP  ) 		B-subj	method	0
Indeed, Ratkje et al. @@CITATION, showed analytically that the entropy production flux (exergy losses) is minimum when the potential of separation (of transfer) is distributed uniformly along the column.	entropy  production  flux  (exergy  losses) 		B-subj	abstract	0
We also note the work @@CITATION, which studies a 1-layer network with a special activation function (Concatenated ReLU, which is essentially linear) and a strong assumption on the latent code (ksparsity).	 1-layer  network with  a  special  activation  function 		B-subj	introduction	0
With an analysis of real data center workloads by Benson et al., @@CITATION we found that an average of 60 flows totaling 3,000 packets arrive at each top-of-rack switch in any given 100 ms window.	 real  data  center  workloads 		B-subj	method	0
.@@CITATION studies the fluid and diffusion approximations of G/M/n+GI queues with state-dependent service rate, but they only analyze convergence over finite time intervals (i.e. intervals of the form [0, T ]).	 fluid  and  diffusion  approximations  of  G/M/n+GI  queues 		B-subj	method	0
I. INTRODUCTION In recent years, many works reported on multisensory and cross-modal effects in integrative cerebral processes (e.g., @@CITATION referring only to some recent works among many others).	integrative  cerebral  processes 		B-subj	unknown	0
Static analysis techniques have been used to verify program correctness against a wellspecified program model @@CITATION and to check real codes directly for Java [23] and C/C++ programs [17].	program  correctness 		B-subj	evaluation	0
.@@CITATION analyzes the usage and functionality of Real’s stream switching support called SureStream, where the sender has multiple (statically pre-encoded) versions of the same video content available.	SureStream	Real’s  stream  switching  support 	B-subj	method	0
Backstrom et al. (@@CITATION) investigated the membership problem in online communities and measured how propensity of individuals to join a community depends on friends already within the community.	 membership  problem  in  online  communities 		B-subj	method	0
Finally, we report the performance of a most recent video classification method, i.e., supervised manifold learning (SML) @@CITATION method which has demonstrated state-of-theart video classification performance.	supervised  manifold  learning  (SML) 		A-subj	method	0
Liu et al. @@CITATION used a 3 month trace from 33,000 taxicabs in Beijing to investigate the spatial and temporal causes behind anomalies in traffic situations while Zheng et.	spatial  and  temporal  causes  behind  anomalies  in  traffic  situations 		B-subj	introduction	0
An analysis by Loding @@CITATION showed that slightly more ambitious reachability problems are undecidable, namely the termination problem, the alternating reachability problem, and the FO(Reg)-theory.	ambitious  reachability  problems 		B-subj	method	0
In his original formulation [26]@@CITATION, Reifer reported improved prediction performances of Web Objects over Function Points, but no details were provided about the empirical analysis he performed.	Web  Objects 		B-subj	abstract	0
Gaze behavior independent of non-verbal or verbal exchange has been empirically investigated and modeled by @@CITATION, while [9] propose a model for attention towards specific objects in the environment of the agent.	Gaze  behavior  independent  of  non-verbal  or  verbal  exchange 		B-subj	method	0
However, power analysis of such processors indicates that a significant amount of power is consumed in the onchip (instruction) memory hierarchy: 30% of the total power according to @@CITATION.	power  analysis  of  such  processors 		B-subj	introduction	0
The empirical analysis of citation networks, an approach with a long tradition in scientometry @@CITATION, can be regarded as capturing the social dimension (i.e. collecting institutions in the form of journals).	citation  networks		B-subj	unknown	0
We analyze four different ways of doing reachability analysis, forward or backward reachability using partitioned [4] or unpartitioned BDDs @@CITATION for state set representation.	unpartitioned  BDDs 		A-subj	introduction	0
Theodorakis et al. @@CITATION evaluated product HMMs for the recognition of 93 isolated, Greek sign language signs and reported that an asynchronous combination of features outperformed a synchronous combination.	product HMMs 		B-subj	unknown	0
