text	object	context	role	section
The interested reader is referred to @@CITATION, where an extensive survey and classification have been proposed.	survey 		B-subj	method
The idea of introducing an intruder was first proposed in @@CITATION in another setting.	intruder 		B-subj	keywords
One solution for this issue it to adopt the Bootstrapping operation, proposed by Gentry @@CITATION.	Bootstrapping  operation		B-subj	method
In this paper, we enhance an ILP model proposed in our previous work @@CITATION.	ILP  model 		B-subj	method
Recently, two new approaches are proposed that are called global optimization @@CITATION.	global  optimization 		B-subj	keywords
Methods to compute the capacity and rate-distortion functions for continuous alphabets were proposed in @@CITATION .	Methods  to  compute  the  capacity  and  rate-distortion  functions 	for  continuous  alphabets 	B-subj	method
Many algorithms have been proposed for NN queries @@CITATION where the value of data is certain.	algorithms 	for  NN  queries 	B-subj	introduction
They are well suited to distributed implementations and several architectures have been proposed @@CITATION.	architectures 		B-subj	method
@@CITATION introduce planar surfaces into the mapper which are often contained in our man-made environments .	planar  surfaces 		B-subj	method
The two papers @@CITATION present Petri nets semantics of the Ï€-calculus.	Petri  nets  semantics 		B-subj	conclusions
The Slow Intelligence approach was first proposed by Shi-Kuo Chang @@CITATION.	Slow  Intelligence  approach 		B-subj	method
Most of the proposed solutions , e.g. , @@CITATION , are based on different forms of logic .	solutions 		B-subj	method
Authors of @@CITATION proposed a dynamic programming method for the buffer insertion problem.	dynamic  programming  method  	for  the  buffer  insertion  problem	B-subj	method
Coppersmith and Odlyzko @@CITATION presented three versions of index calculus method.	index  calculus  method		B-subj	method
In @@CITATION, a recognition system of the driver aggressiveness based on sensor-fusion is presented.	recognition  system  of  the  driver  aggressiveness 		B-subj	method
Several extensions to the basic RRT planner have been proposed to alleviate this issue @@CITATION.	extensions  to  the  basic  RRT  planner 		B-subj	method
Several RSS-based approaches are proposed in @@CITATION, and they are based on calibration to RSS measurement.	RSS-based  approaches 		B-subj	method
Initial results of DMP adaptation methods, expanded on in this paper, were presented in @@CITATION.	DMP  adaptation  methods		B-subj	keywords
Pun @@CITATION first proposed the selection of thresholds using an entropy criterion.	selection  of  thresholds  using  an  entropy  criterion		B-subj	abstract
In @@CITATION, a stereo matching algorithm is presented as a regularized optimization problem.	stereo  matching  algorithm 		B-subj	abstract
@@CITATION introduces Ur/Web, which uses open quotations with a sophisticated type system.	Ur/Web		B-subj	discussions
The use of optimal control formulations for image timeseries has been proposed in @@CITATION.	optimal  control  formulations  for  image  timeseries 		B-subj	method
Then, the first learning approach toward end-to-end localization is proposed in @@CITATION.	learning  approach  toward  end-to-end  localization 		B-subj	introduction
For these reasons, numerous software design methods have been proposed and practiced @@CITATION.	software  design  methods 		B-subj	abstract
Smith, Self and Cheeseman firstly introduced the solution of SLAM in their paper @@CITATION.	SLAM 		B-subj	keywords
We use the Iterative Parameter Mixtures SGD approach as presented in @@CITATION .	Iterative  Parameter  Mixtures  SGD  approach 		B-subj	method
In @@CITATION, reassembly of hand-torn images is proposed based on shape and color.	reassembly  of  hand-torn  images 		B-subj	related work
The anomaly component of the proxy is based on the WebAnomaly system presented in @@CITATION.	WebAnomaly  system 		B-subj	method
Soon after, the first face recognition algorithm that included a CNN was proposed in @@CITATION.	face  recognition  algorithm  that  included  a  CNN 		B-subj	related work
@@CITATION also proposes the hermeneutic relation as a second type of humanâ€”technology dependence.	hermeneutic  relation  as  a  second  type  of  humanâ€”technology  dependence		B-subj	method
Following this idea, @@CITATION proposed a method where windows were randomly sampled over the image.	method 		B-subj	related work
Test automation has been proposed as one solution to reduce testing costs @@CITATION.	Test  automation 	to  reduce  testing  costs 	B-subj	introduction
A discriminative approach is proposed in @@CITATION, in which two kinds of interactions are introduced.	discriminative  approach 		B-subj	method
In Ref. @@CITATION, a hierarchical-clustering routing protocol for wireless networks is presented.	hierarchical-clustering  routing  protocol 	for  wireless  networks 	B-subj	conclusions
Jeong and Dubois introduce the idea of cost sensitive replacement algorithms @@CITATION.	 cost  sensitive  replacement  algorithms 		B-subj	evaluation
Thus, over the last few years, a large number of SR algorithms have been proposed @@CITATION.	SR  algorithms 		B-subj	introduction
The first example is based on variants of the HB protocol, introduced in @@CITATION.	HB  protocol		B-subj	keywords
Multiple Kernel Learning The MKL algorithm was first proposed in @@CITATION.	MKL  algorithm 		B-subj	method
KLT-focused optimizations presented in @@CITATION have been designed to satisfy this proper, particular constraint.	KLT-focused  optimizations 		B-subj	method
An efficient initialization scheme was proposed to accelerate the training procedure @@CITATION.	efficient  initialization  scheme 	to  accelerate  the  training  procedure 	B-subj	introduction
Storage operators were introduced in @@CITATION in order to avoid this, and to simulate call-by-value, when necessary.	Storage  operators 	to  simulate  call-by-value	B-subj	abstract
It consists of a combination of forward differences and central differences as proposed by @@CITATION.	combination  of  forward  differences  and  central  differences 		B-subj	unknown
To create this functionality, a number of cross-domain recommendation methods have been proposed @@CITATION.	cross-domain  recommendation  methods 		B-subj	method
The T10 standards @@CITATION were proposed to store data and attributes as objects .	T10  standards 	to  store  data  and  attributes  as  objects 	B-subj	method
We present a straightforward multidomain variant of Generalized Noninterference as presented in @@CITATION.	multidomain  variant  of  Generalized  Noninterference 		B-subj	unknown
To suppress the artifacts from the pulsed LEDs, chopping integration has been introduced @@CITATION.	chopping  integration 	To  suppress  the  artifacts  from  the  pulsed  LEDs	B-subj	introduction
In wireless environment , several contention-free protocols have also been proposed @@CITATION .	contention-free  protocols 	In  wireless  environment 	B-subj	method
Many visualinertial SLAM approaches @@CITATION have been proposed and have been popular ever since.	SLAM  approaches 		B-subj	method
A nice unifying view of registration approaches was recently presented in @@CITATION.	unifying  view  of  registration  approaches 		B-subj	unknown
After that, numerous 2PAKE protocols were presented for different communication environments @@CITATION.	2PAKE  protocols 	for  different  communication  environments 	B-subj	abstract
Several extensions to the basic RRT planner have been proposed to alleviate this issue @@CITATION.	RRT  planner 		B-subj	method
Recently, hierarchical super-peer systems @@CITATION have been proposed to improve searching efficiency.	hierarchical  super-peer  systems 	to  improve  searching  efficiency	B-subj	related work
A set of local features is proposed for prioritydriven partial matching @@CITATION.	local  features 	for  prioritydriven  partial  matching 	B-subj	related work
In @@CITATION the authors propose a dynamic resource (re)allocation mechanism for large-scale high-performance computing platforms.	dynamic  resource  (re)allocation  mechanism  for  large-scale  high-performance  computing  platforms		B-subj	method
The Bezawada scheme(@@CITATION) proposed a key distribution algorithm for distributing keys to only those users who need them.	key  distribution  algorithm  for  distributing  keys 		B-subj	related work
The approach in (@@CITATION) proposes alternative centralized and decentralized fusion architectures to address the classification of pedestrians.	centralized  and  decentralized  fusion  architectures  to  address  the  classification  of  pedestrians		B-subj	introduction
Liu’s model In @@CITATION, the author introduces a bottom-up framework modelling sparse matrix LU factorization.	 bottom-up  framework  modelling  sparse  matrix  LU  factorization		B-subj	unknown
Cordeiro et al. @@CITATION present a survey of the multicast routing protocols for ad hoc networks that have been proposed in the literature.	multicast  routing  protocols  for  ad  hoc  networks 		B-subj	keywords
Therefore, a number of authors proposed numerical methods for solving fractional diffusion equations (e.g. @@CITATION).	 numerical  methods  for  solving  fractional  diffusion  equations 		B-subj	introduction
For example, the ‘UML Components’ approach introduced in @@CITATION specifies components via stereotyped classes.	‘UML  Components’  approach 		B-subj	method
Hsu and Feng @@CITATION propose the β-adaptation algorithm that automatically adapts the voltage and frequency based on the average retired MIPS.	β-adaptation  algorithm 		B-subj	keywords
Triangular norms (t-norms) were introduced by Schweizer and Sklar in @@CITATION to model the distance in probabilistic metric spaces.	Triangular  norms  (t-norms)  		B-subj	method
This methodology was first introduced in Ref. @@CITATION and validated by reproducing experimental thermal conductivity measurements on Si/Ge superlattices.	This  methodology 		B-subj	keywords
In @@CITATION Moody et al. proposed a multilevel checkpoint and used a Markov probability model to describe its performance.	multilevel  checkpoint 		B-subj	method
(@@CITATION) presented a welldefined authorization model that permits a range of discretionary access policies for relational databases.	 authorization  model 	for  relational  databases	B-subj	related work
In 1995, Qiu proposed a frequency dependent channel model @@CITATION that incorporates the diffraction mechanism of multipath components.	frequency  dependent  channel  model 		B-subj	keywords
To overcome this problem , various energy aware or energyconstrained algorithms have been proposed in the literature ( e.g. , @@CITATION ) .	energyconstrained  algorithms 		B-subj	method
An interesting and novel solution is presented by Brouwers et al. with Pogo @@CITATION, a middleware for mobile phone sensing.	middleware  for  mobile  phone  sensing		B-subj	method
learning models have also been proposed @@CITATION, and limited examples demonstrated [21,22,23,24], for synthetic biochemical systems.	learning  models 		B-subj	abstract
Scanniello et al. @@CITATION present a phased clustering approach to produce a hierarchical decomposition of object-oriented software systems.	 phased  clustering  approach 	of  object-oriented  software  system	B-subj	method
In @@CITATION, a QoS-guided min-min heuristic is presented which can guarantee the QoS requirements of particular tasks and minimize the makespan at the same time.	 QoS-guided  min-min  heuristic 		B-subj	method
Sawada et al. @@CITATION introduced a new family of DB sequences and provided a linear time shift-rule for these sequences.	DB  sequences 		B-subj	keywords
In @@CITATION, the class of visibly pushdown languages (Vpl) is proposed as an automata theoretic generalization of Caret.	visibly  pushdown  languages  (Vpl) 		B-subj	keywords
Caching systems addressing information centric overloaded networks in vehicular and edge computing environments are also proposed in @@CITATION .	Caching  systems 	 in  vehicular  and  edge  computing  environments 	B-subj	abstract
Numerous PDR estimators were previously proposed for the estimation of the walking distance both indoors [11–14] and outdoors @@CITATION.	PDR  estimators 	for  the  estimation  of  the  walking  distance 	B-subj	related work
In @@CITATION, we proposed a novel blind known interference cancellation (BKIC) scheme for the known-interference channel.	 blind  known  interference  cancellation  (BKIC)  scheme  for  the  known-interference  channel		B-subj	abstract
In previous work @@CITATION we presented a method for classifying the terrain in front of the robot using a 3D LIDAR and a camera.	method for  classifying  the  terrain 		B-subj	unknown
Goferman et al. @@CITATION proposed puzzle-like collage to assemble regions of interest of arbitrary shape in a puzzle-like fashion.	puzzle-like  collage  to  assemble  regions  of  interest 		B-subj	method
In @@CITATION, an MDP formulation was proposed for adaptive video play out This research was supported in part by Intel Inc.	 MDP  formulation 	for  adaptive  video  play  out 	B-subj	method
The authors in @@CITATION proposed a hybrid method in such a way that the selection of CHs is distributed while controlling the number of CHs is centralized.	hybrid  method 		B-subj	method
SCTP (Stream Control Transmission Protocol) @@CITATION has been proposed by IETF as a new transport layer protocol.	SCTP  (Stream  Control  Transmission  Protocol) 		B-subj	method
EPs were proposed by Dong and Li @@CITATION to capture useful contrasts between data classes, or emerging trends in timestamped databases.	EPs 	 to  capture  useful  contrasts  between  data  classes	B-subj	related work
Balasubramanian @@CITATION et al. have presented a system called Thedu to enable efficient web search from a city bus.	Thedu 		B-subj	method
In this context, in @@CITATION an ACO algorithm was proposed, while in [15] an evolutionary algorithm was applied to this variant of the problem.	ACO  algorithm 		B-subj	method
Finally, Joachims @@CITATION proposes ranking SVMs for preference learning and applies them to preference learning using click data.	ranking  SVMs  for  preference  learning 		B-subj	related work
Erin Liong et al. @@CITATION proposed a deep hashing method to explore the nonlinear relationship among data.	 deep  hashing  method  to  explore  the  nonlinear  relationship 		B-subj	introduction
In @@CITATION, a mobility management was proposed in a packet-oriented multi segment using mobile IP and fuzzy logic concept.	mobility  management 		B-subj	method
For instance, a clustering approach has been proposed using multiple types of interactions in co-occurrence data [@@CITATION].	clustering  approach 		B-subj	related work
Only recently, direct methods that estimate semi-dense depth maps have been proposed @@CITATION, allowing real-time operation on a CPU.	direct  methods  that  estimate  semi-dense  depth  maps 		B-subj	abstract
There are a number of techniques proposed in the literature to jointly estimate Tx and Rx I/Q imbalances as well as CFO @@CITATION.	techniques 	 to  jointly  estimate  Tx  and  Rx  I/Q  imbalances  as  well  as  CFO 	B-subj	method
Thus , multi-view multi-task learning is proposed to explore both source relatedness and task relatedness simultaneously ( @@CITATION ) .	 multi-view  multi-task  learning 	to  explore  both  source  relatedness  and  task  relatedness 	B-subj	abstract
Bavota et al. @@CITATION proposed an approach for recommending Move Method refactorings via relational topic models.	approach  for  recommending  Move  Method  refactorings 		B-subj	related work
Second, in 1979, the (level 1) BLAS standard was proposed @@CITATION, which defined, a set of vector operations.	BLAS  standard 	a  set  of  vector  operations	B-subj	method
A two-step procedure for minimizing the clock period of a synchronous circuit by combining retiming and clock scheduling was proposed in @@CITATION.	procedure  for  minimizing  the  clock  period  of  a  synchronous  circuit 		B-subj	method
Although the method was first proposed in @@CITATION, here it is tested on a greater number of benchmark datasets including a face recognition database.	method 		B-subj	method
In recent years, various consensus algorithms have been proposed for the multi-agent systems (see, e.g., @@CITATION).	consensus  algorithms 	for  the  multi-agent  systems 	B-subj	method
A range of techniques has been proposed for PI construction for NN outcomes in the literature @@CITATION , [ 6 ] , @@CITATION .	techniques 	for  PI  construction  for  NN  outcomes 	B-subj	introduction
A different approach was recently proposed in @@CITATION by formulating trajectory estimation as a labelling problem, modelled by Bayesian networks.	approach 		B-subj	introduction
The Load Based Concurrent Access Protocol (LCAP) has been proposed in @@CITATION for MANETs with directional antennas.	Load  Based  Concurrent  Access  Protocol  (LCAP) 		B-subj	method
Previously Ziyang @@CITATION proposed a new medical files allocation algorithm by using femtocaching to transfer and cache EMRs.	medical  files  allocation  algorithm 		B-subj	method
• A demonstration that the SRAM-cache architecture proposed in @@CITATION can be deployed in real routers using an inexpensive and simple implementation.	 SRAM-cache  architecture 		B-subj	introduction
Just recently, Wilburn et al. @@CITATION presented a light field camera array using custom-made hardware.	light  field  camera  array 		B-subj	method
V. RelatedWork Binkley and Harman @@CITATION introduced the notion of dependence clusters and employed program slicing at the vertex-level to identify them.	 notion  of  dependence  clusters 		B-subj	unknown
More recently, Amiri et al. introduced Abacus, an object-oriented framework for developing active storage systems @@CITATION.	Abacus		B-subj	related work
Smith and Seiler @@CITATION proposed a suboptimal but computationally efficient estimator that can be applied when the arrival process is modeled as a Markov chain.	estimator 		B-subj	unknown
A bandwidth pricing mechanism based on second-price auctions that solves congestion problems in communication networks has been proposed in @@CITATION.	bandwidth  pricing  mechanism 		B-subj	method
While all the mentioned characteristics were studied using network emulators, authors of the @@CITATION proposed a methodology that utilizes network virtualization.	methodology 		B-subj	method
Mei and others introduced a mixture model to extract the subtopics in weblog collections, and track their distribution over time and locations @@CITATION.	mixture  model  to  extract  the  subtopics  in  weblog  collections		B-subj	related work
The nonlinear regularization (or perturbation) of linear programs was first proposed by Mangasarian et al. @@CITATION.	 nonlinear  regularization  (or  perturbation)  of  linear  programs 		B-subj	method
Kolodziej et al. @@CITATION have presented an approach for independent task scheduling with security requirements in Grid computing environment.	approach  for  independent  task  scheduling 	in  Grid  computing  environment	B-subj	method
In 1995, Qiu proposed a frequency dependent channel model @@CITATION that incorporates the diffraction mechanism of multipath components.	 frequency  dependent  channel  model 		B-subj	keywords
Christofides @@CITATION proposed a polynomial-time approximation algorithm for metric TSPs that finds a tour of cost at most 3/2 times the optimum.	polynomial-time  approximation  algorithm  for  metric  TSPs 		B-subj	method
Inlined reference monitors have been proposed in a variety of languages and settings: from assembly code [15] to Java @@CITATION.	Inlined  reference  monitors 		B-subj	method
Du et al. @@CITATION proposed a DNN to estimate the log power spectrum of target speech from that of a cochannel mixture.	DNN  to  estimate  the  log  power  spectrum  of  target  speech 		B-subj	introduction
Since MapReduce @@CITATION was introduced, several Big Data frameworks have been proposed, which allow the processing of large, heterogeneous datasets.	MapReduce 		B-subj	method
Redelmeier @@CITATION introduced the first efficient algorithm for counting polyominoes, in the sense that it generated all polyominoes sequentially without repetitions.	algorithm  for  counting  polyominoes		B-subj	introduction
Olshausen et al. @@CITATION introduced a Bayesian framework to simulate the sparse coding mechanism of human vision system.	Bayesian  framework  to  simulate  the  sparse  coding  mechanism  of  human  vision  system		B-subj	method
The priority-based register allocation scheme, first presented in @@CITATION, was developed to satisfy these goals while addressing the problems mentioned above.	priority-based  register  allocation  scheme		B-subj	method
Andrews et al. @@CITATION proposed a throughput-optimized scheduling approach for a shared wireless link with variable channel conditions.	throughput-optimized  scheduling  approach  for  a  shared  wireless  link 		B-subj	keywords
The proposed SIGVerse simulator(@@CITATION) combines dynamics, physical perceptions, and communications for a multi-agent system.	SIGVerse  simulator		B-subj	unknown
7.2 Extension Hierarchies Ossher and Harrison have proposed a mechanism called extension hierarchies @@CITATION that is similar to type adaptation.	extension  hierarchies 		B-subj	method
Later, Ian de Felipe et al. @@CITATION proposed a data structure that integrates signature files and R-trees.	data  structure  that  integrates  signature  files  and  R-trees		B-subj	method
Adaptive control algorithms (which could be evolutionary) have been proposed for the on-line tuning of nanoelectronic circuit parameters @@CITATION.	Adaptive  control  algorithms 		B-subj	keywords
Taking a further step, in @@CITATION, Hoepman, Vaudenay, and Cagalj proposed protocols that can get around the problem of the bandwidth of the authentic channel.	 protocols 		B-subj	method
Further, Wen et al. @@CITATION proposed -algorithm to discover non-free choice constructs and -algorithm to detect concurrency.	algorithm  to  discover  non-free  choice  constructs 		B-subj	categories and subject descriptors
Several evaluation metrics for ranking error have been proposed; see, for example, @@CITATION, and Hand and Till (2001).	evaluation  metrics  for  ranking  error 		B-subj	method
In @@CITATION, we presented a controller for walking applied to a simulated 3D biped based on coordinating multiple DP policies.	controller  for  walking 		B-subj	method
To facilitate the multi-dimensional transfer function specification, Kniss et al. @@CITATION introduced a set of manipulable widgets.	set  of  manipulable  widgets	To  facilitate  the  multi-dimensional  transfer  function  specification	B-subj	related work
In (@@CITATION), authors propose the design of a DW system that allows the interaction of structured and unstructured data.	 DW  system  		B-subj	unknown
In @@CITATION an attack on LLC was introduced which does not use the huge pages or shared data or the knowledge of virtual-to-physical page mappings.	attack  on  LLC 		B-subj	conclusions
Yibin et al. @@CITATION presented a mobile-cloud-based smart city framework, which is an active approach to avoid data over-collection.	mobile-cloud-based  smart  city  framework		B-subj	method
This notion was introduced by Diffie and Hellman @@CITATION, who also gave a protocol for non-interactive key exchange in the two-party setting.	This  notion 		B-subj	abstract
Accordingly, we introduced in this Letter the concept of path diversity @@CITATION which is mathematically characterized by the information entropy [19,20].	path  diversity 		B-subj	unknown
In the area of locality-awareness, we propose a new mechanism called biased unchoking and evaluated its performance via simulations @@CITATION.	biased  unchoking 		B-subj	unknown
1More sophisticated architectures where the additional material detects errors (in the context of fault attacks) have been proposed @@CITATION.	architectures 	in  the  context  of  fault  attacks	B-subj	unknown
To overcome these handicaps, a differentiable and simpler approach has been proposed, which is known as kernel-target alignment (KTA) @@CITATION.	kernel-target  alignment  (KTA) 		B-subj	related work
For this purpose, kernel rootkit detection techniques have been proposed (e.g., @@CITATION), as well as attestation techniques.	kernel  rootkit  detection  techniques 		B-subj	method
To the best of our knowledge, BTSP was introduced by Gilmore and Gomory @@CITATION in 1964, where the edge costs were assumed to be specially structured.	BTSP 		B-subj	introduction
Jaggi et al. @@CITATION proposed a deterministic polynomial-time algorithm for finding feasible network codes for multicast networks.	 algorithm  for  finding  feasible  network  codes 		B-subj	abstract
One of the most recent work is @@CITATION in which the authors proposed a workflow scheduler that minimizes the execution cost while meeting a specified deadline.	workflow  scheduler 		B-subj	method
2.3 Network Coding In @@CITATION, the authors introduced the concept of NC applied to message processing at the network layer.	NC  applied  to  message  processing 		B-subj	introduction
Our model consists of 106.123 whereas the fully convolutional AlexNet architecture proposed in @@CITATION had 60 million parameters.	fully  convolutional  AlexNet  architecture 		B-subj	conclusions
I-vector normalisation In order to condition i-vectors for a specific task, different normalisation process have been proposed recently @@CITATION.	 normalisation  process  	In  order  to  condition  i-vectors  for  a  specific  task	B-subj	method
Thus, tone mapping operation @@CITATION is introduced to map the real pixel values to the ones adapted to the displaying device.	tone  mapping  operation 	 to  map  the  real  pixel  values  to  the  ones  adapted  to  the  displaying  device	B-subj	method
1) Discussion : In @@CITATION an alternative closed form expression for MMSE-ZF equalizer is presented for the ZP case.	closed  form  expression  for  MMSE-ZF  equalizer 	for  the  ZP  case	B-subj	method
Besides these , several kernel learning methods ( @@CITATION ) have been proposed in semi-supervised setting by using side information .	 kernel  learning  methods 		B-subj	keywords
A closer description of the implemented interaction metaphors including a first pilot study is presented in @@CITATION, 2005b).	 implemented  interaction  metaphors 		B-subj	abstract
This idea, which was introduced in @@CITATION and illustrated by juxtaposing anatomical data from CoCoMac and electrophysiological recordings, became an influential concept.	This idea		B-subj	unknown
De Giacoma et al. @@CITATION proposed the HiDL-Lite language, which adds one layer on top of the DL-LiteR language.	HiDL-Lite  language		B-subj	conclusions
In 2011, Huber et al. @@CITATION proposed a model to predict the overheads for services running on a virtualization platform.	model  to  predict  the  overheads  for  services running  on  a  virtualization  platform		B-subj	method
We begin by recalling the notion of semantic distance proposed by Lehmann, Magidor and Schlechta @@CITATION in the context of belief revision.	semantic  distance 		B-subj	method
Recently an in situ dark field microscopy probe for online monitoring of cell density and viability in bioreactors has been proposed @@CITATION.	in  situ  dark  field  microscopy  probe 		B-subj	abstract
An early example is occupancy grid presented by Moravec and Elfes @@CITATION, which provides a probabilistic framework for representing the environment.	 occupancy  grid 	which  provides  a  probabilistic  framework  for  representing  the  environment	B-subj	abstract
In @@CITATION, we proposed the quaternion Fourier–Mellin moments (QFMMs), which can process the color image in a holistic manner.	quaternion  Fourier–Mellin  moments  (QFMMs)	which  can  process  the  color  image  in  a  holistic  manner	B-subj	acknowledgments
